period,ratio,keyword,gender
2025-06-01,2.19739,두바이쫀득쿠키,여성
2025-07-01,2.504,두바이쫀득쿠키,여성
2025-08-01,5.23185,두바이쫀득쿠키,여성
2025-09-01,6.78462,두바이쫀득쿠키,여성
2025-10-01,10.21488,두바이쫀득쿠키,여성
2025-11-01,21.7555,두바이쫀득쿠키,여성
2025-12-01,78.28483,두바이쫀득쿠키,여성
2026-01-01,100.0,두바이쫀득쿠키,여성
2026-02-01,17.32817,두바이쫀득쿠키,여성
2026-03-01,4.72207,두바이쫀득쿠키,여성
2026-04-01,1.55751,두바이쫀득쿠키,여성
2025-05-01,0.51936,저당,여성
2025-06-01,0.47791,저당,여성
2025-07-01,0.52423,저당,여성
2025-08-01,0.48217,저당,여성
2025-09-01,0.51143,저당,여성
2025-10-01,0.38878,저당,여성
2025-11-01,0.35965,저당,여성
2025-12-01,0.35331,저당,여성
2026-01-01,0.35221,저당,여성
2026-02-01,0.31722,저당,여성
2026-03-01,0.31344,저당,여성
2026-04-01,0.26394,저당,여성
2025-05-01,0.46681,봄동비빔밥,여성
2025-06-01,0.25126,봄동비빔밥,여성
2025-07-01,0.19104,봄동비빔밥,여성
2025-08-01,0.21969,봄동비빔밥,여성
2025-09-01,0.25809,봄동비빔밥,여성
2025-10-01,0.6915,봄동비빔밥,여성
2025-11-01,1.97174,봄동비빔밥,여성
2025-12-01,2.51695,봄동비빔밥,여성
2026-01-01,6.10847,봄동비빔밥,여성
2026-02-01,42.83195,봄동비빔밥,여성
2026-03-01,100.0,봄동비빔밥,여성
2026-04-01,4.11661,봄동비빔밥,여성
