period,ratio,keyword,age
2025-08-01,4.25885,두바이쫀득쿠키,20대
2025-09-01,6.26727,두바이쫀득쿠키,20대
2025-10-01,11.36899,두바이쫀득쿠키,20대
2025-11-01,27.53236,두바이쫀득쿠키,20대
2025-12-01,100.0,두바이쫀득쿠키,20대
2026-01-01,82.08718,두바이쫀득쿠키,20대
2026-02-01,13.79788,두바이쫀득쿠키,20대
2026-03-01,4.52185,두바이쫀득쿠키,20대
2026-04-01,1.5168,두바이쫀득쿠키,20대
2025-05-01,1.38819,저당,20대
2025-06-01,1.29921,저당,20대
2025-07-01,1.26001,저당,20대
2025-08-01,1.16668,저당,20대
2025-09-01,1.26064,저당,20대
2025-10-01,1.01236,저당,20대
2025-11-01,0.86241,저당,20대
2025-12-01,0.9153,저당,20대
2026-01-01,0.82756,저당,20대
2026-02-01,0.70561,저당,20대
2026-03-01,0.81885,저당,20대
2026-04-01,0.672,저당,20대
2025-05-01,1.31975,봄동비빔밥,20대
2025-06-01,0.72241,봄동비빔밥,20대
2025-07-01,0.58925,봄동비빔밥,20대
2025-08-01,0.57867,봄동비빔밥,20대
2025-09-01,0.64587,봄동비빔밥,20대
2025-10-01,0.85183,봄동비빔밥,20대
2025-11-01,1.91336,봄동비빔밥,20대
2025-12-01,2.35576,봄동비빔밥,20대
2026-01-01,5.46007,봄동비빔밥,20대
2026-02-01,80.06122,봄동비빔밥,20대
2026-03-01,100.0,봄동비빔밥,20대
2026-04-01,4.70966,봄동비빔밥,20대
2025-05-01,0.22147,우베,30대
2025-06-01,0.23393,우베,30대
2025-07-01,0.34978,우베,30대
2025-08-01,0.24847,우베,30대
2025-09-01,0.28123,우베,30대
2025-10-01,0.18967,우베,30대
2025-11-01,0.15276,우베,30대
2025-12-01,0.16378,우베,30대
2026-01-01,0.38062,우베,30대
2026-02-01,0.27036,우베,30대
2026-03-01,3.82747,우베,30대
2026-04-01,17.05368,우베,30대
2025-05-01,0.64092,샌드베이글,30대
2025-06-01,0.61327,샌드베이글,30대
2025-07-01,0.59106,샌드베이글,30대
2025-08-01,0.65258,샌드베이글,30대
2025-09-01,0.67511,샌드베이글,30대
2025-10-01,0.52443,샌드베이글,30대
2025-11-01,0.53785,샌드베이글,30대
2025-12-01,0.59905,샌드베이글,30대
2026-01-01,0.66169,샌드베이글,30대
2026-02-01,0.56853,샌드베이글,30대
2026-03-01,0.8349,샌드베이글,30대
2026-04-01,0.80055,샌드베이글,30대
2025-05-01,3.16561,창억떡,30대
2025-06-01,2.38328,창억떡,30대
2025-07-01,2.2548,창억떡,30대
2025-08-01,2.53699,창억떡,30대
2025-09-01,4.9917,창억떡,30대
2025-10-01,3.53313,창억떡,30대
2025-11-01,2.76166,창억떡,30대
2025-12-01,2.85146,창억떡,30대
2026-01-01,3.80174,창억떡,30대
2026-02-01,4.79452,창억떡,30대
2026-03-01,35.59884,창억떡,30대
2026-04-01,27.33446,창억떡,30대
2025-05-01,0.00303,버터떡,30대
2025-06-01,0.00031,버터떡,30대
2025-07-01,0.00111,버터떡,30대
2025-08-01,0.00079,버터떡,30대
2025-09-01,0.00207,버터떡,30대
2025-10-01,0.00479,버터떡,30대
2025-11-01,0.00047,버터떡,30대
2025-12-01,0.00495,버터떡,30대
2026-01-01,0.04857,버터떡,30대
2026-02-01,0.27068,버터떡,30대
2026-03-01,65.96949,버터떡,30대
2026-04-01,11.73296,버터떡,30대
2025-05-01,1.8427,두바이쫀득쿠키,30대
2025-06-01,1.90071,두바이쫀득쿠키,30대
2025-07-01,1.97517,두바이쫀득쿠키,30대
2025-08-01,6.48383,두바이쫀득쿠키,30대
2025-09-01,8.3267,두바이쫀득쿠키,30대
2025-10-01,9.76002,두바이쫀득쿠키,30대
2025-11-01,20.33498,두바이쫀득쿠키,30대
2025-12-01,77.85825,두바이쫀득쿠키,30대
2026-01-01,100.0,두바이쫀득쿠키,30대
2026-02-01,15.75633,두바이쫀득쿠키,30대
2026-03-01,4.73843,두바이쫀득쿠키,30대
2026-04-01,1.49148,두바이쫀득쿠키,30대
2025-05-01,0.6293,저당,30대
2025-06-01,0.5984,저당,30대
2025-07-01,0.64259,저당,30대
2025-08-01,0.55886,저당,30대
2025-09-01,0.61302,저당,30대
2025-10-01,0.47148,저당,30대
2025-11-01,0.45519,저당,30대
2025-12-01,0.47413,저당,30대
2026-01-01,0.46383,저당,30대
2026-02-01,0.37279,저당,30대
2026-03-01,0.38675,저당,30대
2026-04-01,0.3296,저당,30대
2025-05-01,0.74127,봄동비빔밥,30대
2025-06-01,0.39306,봄동비빔밥,30대
2025-07-01,0.28707,봄동비빔밥,30대
2025-08-01,0.38675,봄동비빔밥,30대
2025-09-01,0.38608,봄동비빔밥,30대
2025-10-01,0.81603,봄동비빔밥,30대
2025-11-01,2.28762,봄동비빔밥,30대
2025-12-01,2.73485,봄동비빔밥,30대
2026-01-01,6.35119,봄동비빔밥,30대
2026-02-01,49.6895,봄동비빔밥,30대
2026-03-01,100.0,봄동비빔밥,30대
2026-04-01,4.22571,봄동비빔밥,30대
2025-05-01,0.09316,우베,40대
2025-06-01,0.10168,우베,40대
2025-07-01,0.20391,우베,40대
2025-08-01,0.11872,우베,40대
2025-09-01,0.10965,우베,40대
2025-10-01,0.08904,우베,40대
2025-11-01,0.07186,우베,40대
2025-12-01,0.08753,우베,40대
2026-01-01,0.263,우베,40대
2026-02-01,0.191,우베,40대
2026-03-01,1.45807,우베,40대
2026-04-01,7.39744,우베,40대
2025-05-01,0.65284,샌드베이글,40대
2025-06-01,0.7482,샌드베이글,40대
2025-07-01,0.63401,샌드베이글,40대
2025-08-01,0.72938,샌드베이글,40대
2025-09-01,0.71165,샌드베이글,40대
2025-10-01,0.54044,샌드베이글,40대
2025-11-01,0.52285,샌드베이글,40대
2025-12-01,0.51543,샌드베이글,40대
2026-01-01,0.60145,샌드베이글,40대
2026-02-01,0.45854,샌드베이글,40대
2026-03-01,0.67139,샌드베이글,40대
2026-04-01,0.58894,샌드베이글,40대
2025-05-01,2.7312,창억떡,40대
2025-06-01,2.00923,창억떡,40대
