period,ratio,keyword,device
2025-08-01,3.37388,두바이쫀득쿠키,PC
2025-09-01,5.9681,두바이쫀득쿠키,PC
2025-10-01,7.58078,두바이쫀득쿠키,PC
2025-11-01,17.78485,두바이쫀득쿠키,PC
2025-12-01,69.10426,두바이쫀득쿠키,PC
2026-01-01,100.0,두바이쫀득쿠키,PC
2026-02-01,16.07621,두바이쫀득쿠키,PC
2026-03-01,5.33975,두바이쫀득쿠키,PC
2026-04-01,1.99733,두바이쫀득쿠키,PC
2025-05-01,1.719,저당,PC
2025-06-01,1.56887,저당,PC
2025-07-01,1.64964,저당,PC
2025-08-01,1.43104,저당,PC
2025-09-01,1.59258,저당,PC
2025-10-01,1.20892,저당,PC
2025-11-01,1.19926,저당,PC
2025-12-01,1.13868,저당,PC
2026-01-01,1.13693,저당,PC
2026-02-01,0.97187,저당,PC
2026-03-01,1.07108,저당,PC
2026-04-01,0.88496,저당,PC
2025-05-01,0.81824,봄동비빔밥,PC
2025-06-01,0.45477,봄동비빔밥,PC
2025-07-01,0.31869,봄동비빔밥,PC
2025-08-01,0.39595,봄동비빔밥,PC
2025-09-01,0.62684,봄동비빔밥,PC
2025-10-01,1.02192,봄동비빔밥,PC
2025-11-01,2.34058,봄동비빔밥,PC
2025-12-01,3.01309,봄동비빔밥,PC
2026-01-01,5.70836,봄동비빔밥,PC
2026-02-01,55.04157,봄동비빔밥,PC
2026-03-01,100.0,봄동비빔밥,PC
2026-04-01,5.59686,봄동비빔밥,PC
